Input,Target
"i don't understand, patrick.  you haven't done anything asinine this week. are you not feeling well?",touch of the flu.
touch of the flu.,"i'm at a loss, then.  what should we talk about? your year of absence?"
why don't we discuss your driving need to be a hemorrhoid?,what's to discuss?
what's to discuss?,"you weren't abused, you aren't stupid, and as far as i can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?"
"you weren't abused, you aren't stupid, and as far as i can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?","well, you know -- there's the prestige of the job title... and the benefits package is pretty good..."
you're completely demented.,see you next week!
in the microwave.,make anyone cry today?
what's a synonym for throbbing?,sarah lawrence is on the other side of the country.
jesus!  can a man even grab a sandwich before you women start dilating?,tumescent!
tumescent!,you're not helping.
would you rather be ravished by a pirate or a british rear admiral?,pirate -- no question.
"they'll dance, they'll kiss, they'll come home.  let her go.",kissing?  is that what you think happens?  kissing isn't what keeps me up to my elbows in placenta all day.
"what do you wanna watch?  we've got crap, crap, crap or crap",dr. ruth?
"have a great time, honey!",but -- who -- what --?
what just happened?,your daughters went to the prom.
your daughters went to the prom.,did i have anything to say about it?
did i have anything to say about it?,absolutely not.
absolutely not.,that ' s what i thought
i never seen heat like this!  not even in las minas!,the water's going putrid in the barrels.
the water's going putrid in the barrels.,you'll be drinking your own piss... for the glory of spain... and admiral colon...!  bastard!
"what are you listening to, chicken ass?","ah, leave him alone.  he's doing no harm."
"ah, leave him alone.  he's doing no harm.",with a face like that?  i don't want you looking at me.  you hear?
he's the devil's child...,we'll all go crazy...
we should have seen land.,"we left three weeks ago, alonso. can't be that near."
"we left three weeks ago, alonso. can't be that near.","can't be that far, i say.  also, i don't like the smell of the sea around here.  smells like a cunt. bad sign..."
you say asia can be found by sailing west?,"yes, your eminence.  the voyage should not take more than six or seven weeks."
"yes, your eminence.  the voyage should not take more than six or seven weeks.","unfortunately, don colon, that is precisely where our opinions differ...  are you familiar with the work of aristotle?  erathostene?  ptolemeus?"
"unfortunately, don colon, that is precisely where our opinions differ...  are you familiar with the work of aristotle?  erathostene?  ptolemeus?","i am, your eminence"
"i am, your eminence","then you cannot ignore that according to their calculations, the circumference of the earth is approximately...  22,000 leagues or more.  which makes the ocean... uncrossable."
"senor colon, an experienced captain such as yourself will understand our concern with the crew.  i am not willing to have on my conscience the loss of men who would have relied upon our judgment.","excellency, you are right."
"your eminence, there is only one way to settle the matter.  and that is to make the journey.  i am ready to risk my life to prove it possible.","your life, and that of others!"
"your life, and that of others!","if they agree to follow me, yes."
"trade, your excellency.  according to marco polo, the kingdom of china is one of the richest of the world. even the meanest buildings are roofed with gold.",is that all that interests you? gold?
is that all that interests you? gold?,"no.  the portuguese have already discovered black-skinned people.  i, too, will find other populations -- and bring them to the word of god."
"if god intended our proximity to asia, do you believe he would have waited for you to show it to the world?",did he not choose a carpenter's son to reveal himself to the world?
don't you realize your words could be considered heretical?,blind faith is what i consider heresy!
asia can be found to the west -- and i will prove it.,if-god-wills-it!
"the state has some reason to be interested in this man's proposition, your eminence...",the judgment is ours!
the judgment is ours!,naturally.  but i would really deplore the loss of such a potential opportunity for spain for a... dispute over a point of geography.
he is a mercenary!  did he not already try to convince the king of portugal of his absurd notions?,"indeed.  the world is full of mercenaries -- and states often make use of them, when it benefits them.  my only concern is the welfare and prosperity of spain."
"it won't be easy to get rid of your prophet now, don sanchez.","on the contrary, your eminence.  it seems to me the man is preparing his own cross."
you can see for yourself.,what a tragedy... what a waste of a life...
what a tragedy... what a waste of a life...,"a waste...?  let me tell you something, arojaz.  if your name, or mine, is ever remembered -- it will only be because of his."
i could be gone for years.,i know.
i know.,i haven't given you much of a life.
i haven't given you much of a life.,well... that's true.  i have a child by a man who won't marry me!  who's always leaving...
well... that's true.  i have a child by a man who won't marry me!  who's always leaving...,are we going to argue?
are we going to argue?,i'd love to argue with you sometimes.  but you're never here!
perhaps i was never meant to live with a woman...,i find that hard to believe.
she said yes.,thank god...
i'm not asking you to swear to anything.,i don't want you to wait for me.
i don't want you to wait for me.,that's something you can't decide.
"beatrix, i want to ask you something.",you don't usually ask.
you don't usually ask.,i can arrange for the queen to take fernando and diego into her service.
god... you're so beautiful!  i can't believe no other man has ever taken you away from me...,they tried... but i didn't let them.
they took everything...,"not everything... do you think i care?  i'm a free man again.  riches don't make a man rich, they only make him busier..."
can't you stay with us a little?,i am busy inside.
"what is it, now?  tell me...",i can't keep my eyes off you.  i would like to catch up with all the moments i didn't spend with you.
i understand that you will soon be appointing governors for the islands?  is it not so?,"forgive me, don bobadilla -- those positions have already been taken."
"forgive me, don bobadilla -- those positions have already been taken.",may i ask by whom?
